선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
김영현,KT,0,0,0,0,0,8,0,7.1,9.82,8.59,1.23,0.364,70.5,4.91,6.65,6.79,-0.06,-0.06
정찬헌,Hero,0,2,0,0,0,4,4,16.0,2.81,1.69,1.69,0.371,62.0,7.88,6.35,6.83,-0.06,-0.02
홍원표,삼성,0,0,0,0,0,4,0,6.1,7.11,8.53,1.42,0.188,81.4,4.26,7.1,7.42,-0.07,0.1
김승현,KIA,1,0,0,0,0,15,0,18.0,5.5,3.5,1.5,0.312,69.8,4.0,5.9,6.09,-0.07,-0.08
김도빈,한화,0,1,0,0,0,1,1,0.1,27.0,81.0,0.0,1.0,50.0,54.0,24.79,27.33,-0.07,-0.14
김영준,LG,1,1,0,0,1,14,0,15.1,6.46,5.28,1.17,0.358,47.8,8.22,5.61,5.76,-0.07,-0.64
이민석,롯데,0,2,0,1,0,18,5,31.0,5.81,7.26,0.87,0.34,62.5,7.26,6.37,6.83,-0.07,-0.07
최우석,NC,0,0,0,0,0,9,0,8.2,8.31,6.23,2.08,0.238,98.0,3.12,7.02,7.03,-0.07,0.15
박치국,두산,2,3,1,3,3,52,0,48.0,6.56,3.38,1.5,0.345,69.9,6.38,6.18,6.46,-0.08,0.53
김명신,두산,2,1,0,4,1,35,0,32.2,6.89,2.2,2.2,0.447,63.1,9.37,6.36,6.36,-0.08,-0.42
이채호,KT,0,0,0,0,0,9,0,6.2,6.75,4.05,2.7,0.423,70.4,9.45,7.99,8.23,-0.09,-0.2
양지율,Hero,0,2,0,3,1,21,0,18.2,3.38,6.27,0.48,0.25,60.8,6.27,6.14,6.9,-0.09,0.33
김대호,삼성,0,1,0,0,0,1,1,4.0,2.25,4.5,2.25,0.333,39.5,11.25,8.04,8.69,-0.09,-0.21
조이현,KT,1,2,0,0,0,16,9,40.0,4.28,2.25,2.02,0.308,68.1,6.3,6.51,6.79,-0.09,0.3
김주온,SSG,0,0,0,0,0,2,0,4.2,7.71,5.79,3.86,0.375,36.6,15.43,9.57,9.64,-0.09,-0.28
이상영,LG,0,1,0,1,0,8,3,16.1,4.41,4.41,0.55,0.259,82.0,3.31,5.81,6.47,-0.1,0.55
최채흥,삼성,0,0,0,1,0,14,1,20.0,6.3,5.4,1.8,0.312,69.1,6.3,6.79,7.0,-0.1,0.1
정철원,두산,2,1,6,1,1,36,0,32.1,10.86,7.24,1.39,0.382,73.0,6.4,6.26,6.2,-0.1,0.16
박신지,두산,0,1,0,0,0,6,1,8.2,3.12,8.31,0.0,0.286,82.4,2.08,6.21,7.14,-0.1,0.17
신영우,NC,0,1,0,0,0,4,2,9.1,5.79,14.46,0.0,0.333,57.7,10.61,7.97,9.07,-0.1,0.05
김진수,LG,0,1,0,0,0,7,0,13.1,4.05,2.7,2.02,0.311,65.5,6.75,6.71,7.03,-0.1,-0.19
강효종,LG,0,0,0,0,0,1,1,1.1,13.5,20.25,6.75,0.333,55.6,20.25,17.29,17.58,-0.11,-0.15
전사민,NC,0,0,0,0,0,17,0,23.2,6.46,6.46,1.14,0.414,62.0,9.51,6.53,6.94,-0.11,-0.38
김택형,SSG,0,1,0,0,0,6,0,7.0,1.29,7.71,1.29,0.321,64.1,9.0,7.93,9.0,-0.12,-0.28
